This report was created by the Stata command iesave (version 7.2). Read more about this command and the purpose of this report on https://dimewiki.worldbank.org/iesave

Number of observations:,1204
Number of variables:,15
ID variable(s):,ID_05
.dta version used:,14
Data signature:,1204:15(60172):824709916:409800938
Last saved by:,User info withheld, see option userinfo in command iesave.
Last saved at:,10:25:20 29 Sep 2023

Variable type: Continuous
Name,Label,Type,Complete obs,Mean,Std Dev,p0,p25,p50,p75,p100
ID_03,"Enumerator",int,1204, 125.8, 97.74, 1, 27, 62, 222, 250
ID_05,"HH Code",int,1204, 3710, 1372, 1001, 3239, 3582, 4169, 7125
INC_01,"INC_01: On-farm enterprise (RWF)",long,1201, 49699, 157096, 0, 0, 0, 40000, 3080000
INC_02,"INC_02: Non-farm enterprise (RWF)",long,1201, 59311, 373706, 0, 0, 0, 25000, 1.12e+07
INC_03,"INC_03: renting land (RWF)",long,1203, 2065, 18681, 0, 0, 0, 0, 500000
INC_04,"INC_04: selling land (RWF)",long,1203, 22988, 228518, 0, 0, 0, 0, 6000000
INC_06,"INC_06: interests & dividends (RWF)",long,1203, 4935, 29632, 0, 0, 0, 0, 600000
INC_10,"INC_10: renting agricultural equipment (RWF)",long,1204, 348.8, 8978, 0, 0, 0, 0, 300000
INC_11,"INC_11: Selling harvest of Season A 2013 (RWF)",long,1197, 64183, 375278, 0, 0, 5000, 45000, 1.12e+07
INC_12,"INC_12: Terracing for LWH (RWF)",long,1202, 50471, 135214, 0, 0, 0, 60000, 3500000

Variable type: Categorical
Name,Label,Value label,Complete obs,Number of levels,Number of unlabeled levels,Top count
ID_06,"Village",ID_06_en,1204,126,0,Nyarunazi:85 Kibabara:58 Ndinda:54 Bitega (Murehe):53 Ruvomu (Murehe ):51
ID_08,"Sector",ID_08_en,1204,9,0,Mwulire:323 Nzige:253 Muyumbu:215 Gahengeri:154 Kabare:87
ID_10,"Site (Pre-filled from baseline survey)",ID_10_en,1204,6,0,Rwamagana-35:617 Rwamagana-34:233 Kayonza-15:100 Rwamagana-2:90 Rwamagana-33:86
ID_10_CONFIRM,"According to our record, your HH is in site . Corrrect?",id_10_confirm,1204,2,0,Yes:1197 No:7
ID_10_CORRECTED,"Please select the correct site.",id_10_corrected,7,3,0,Rwamagana-34:4 Rwamagana-35:2 Kayonza-4:1

